E /V	I /uA	E /V	I /uA	E /V	I /uA
0.308	1.666	0.308	1.568		
0.309	1.741	0.309	1.626		
0.310	1.796	0.310	1.689		
0.311	1.867	0.311	1.755		
0.312	1.942	0.312	1.819		
0.313	2.023	0.313	1.894		
0.314	2.087	0.314	1.962		
0.315	2.178	0.315	2.045		
0.316	2.252	0.316	2.132		
0.317	2.331	0.317	2.206		
0.318	2.413	0.318	2.273		
0.319	2.488	0.319	2.359		
0.320	2.554	0.320	2.425		
0.321	2.621	0.321	2.495		
0.322	2.664	0.322	2.551		
0.323	2.739	0.323	2.620		
0.324	2.742	0.324	2.660		
0.325	2.758	0.325	2.681		
0.326	2.716	0.326	2.681		
0.327	2.686	0.327	2.675		
0.328	2.610	0.328	2.637		
0.329	2.518	0.329	2.581		
0.330	2.400	0.330	2.498		
0.331	2.270	0.331	2.411		
0.332	2.115	0.332	2.282		
0.333	1.949	0.333	2.146		
0.334	1.795	0.334	1.989		
0.335	1.640	0.335	1.842		
0.336	1.488	0.336	1.683		
0.337	1.368	0.337	1.531		
0.338	1.244	0.338	1.393		
0.339	1.155	0.339	1.281		
0.340	1.072	0.340	1.161		
0.341	1.006	0.341	1.074		
0.342	0.946	0.342	0.985		
0.343	0.891	0.343	0.919		
0.344	0.839	0.344	0.864		
0.345	0.807	0.345	0.816		
0.346	0.772	0.346	0.773		
0.347	0.747	0.347	0.741		
0.348	0.707	0.348	0.707		
0.349	0.686	0.349	0.681		
0.350	0.660	0.350	0.647		
0.351	0.638	0.351	0.624		
0.352	0.620	0.352	0.609		
0.353	0.597	0.353	0.595		
0.354	0.584	0.354	0.561		
0.355	0.566	0.355	0.561		
0.356	0.549	0.356	0.535		
0.357	0.541	0.357	0.523		
0.358	0.520	0.358	0.506		
0.359	0.520	0.359	0.495		
0.360	0.502	0.360	0.483		
0.361	0.488	0.361	0.471		
0.362	0.476	0.362	0.465		
0.363	0.472	0.363	0.449		
0.364	0.460	0.364	0.442		
0.365	0.453	0.365	0.428		
0.366	0.443	0.366	0.423		
0.367	0.440	0.367	0.420		
0.368	0.430	0.368	0.410		
0.369	0.430	0.369	0.403		
0.370	0.420	0.370	0.405		
0.371	0.419	0.371	0.394		
0.372	0.416	0.372	0.388		
0.373	0.405	0.373	0.387		
0.374	0.403	0.374	0.377		
0.375	0.394	0.375	0.377		
0.376	0.390	0.376	0.373		
0.377	0.388	0.377	0.370		
0.378	0.377	0.378	0.361		
0.379	0.377	0.379	0.361		
0.380	0.374	0.380	0.356		
0.381	0.380	0.381	0.347		
0.382	0.365	0.382	0.348		
0.383	0.371	0.383	0.347		
0.384	0.368	0.384	0.345		
0.385	0.364	0.385	0.341		
0.386	0.357	0.386	0.341		
0.387	0.356	0.387	0.338		
0.388	0.353	0.388	0.333		
0.389	0.350	0.389	0.331		
0.390	0.348	0.390	0.330		
0.391	0.338	0.391	0.325		
0.392	0.348	0.392	0.324		
0.393	0.341	0.393	0.325		
0.394	0.334	0.394	0.321		
0.395	0.339	0.395	0.328		
0.396	0.333	0.396	0.313		
0.397	0.333	0.397	0.316		
0.398	0.336	0.398	0.313		
0.399	0.331	0.399	0.310		
0.400	0.327	0.400	0.318		
0.401	0.328	0.401	0.315		
0.402	0.324	0.402	0.307		
0.403	0.327	0.403	0.305		
0.404	0.334	0.404	0.310		
0.405	0.318	0.405	0.310		
0.406	0.325	0.406	0.302		
0.407	0.325	0.407	0.305		
0.408	0.313	0.408	0.301		
0.409	0.325	0.409	0.302		
0.410	0.319	0.410	0.302		
0.411	0.316	0.411	0.299		
0.412	0.319	0.412	0.296		
0.413	0.315	0.413	0.305		
0.414	0.313	0.414	0.298		
0.415	0.308	0.415	0.291		
0.416	0.311	0.416	0.296		
0.417	0.313	0.417	0.290		
0.418	0.311	0.418	0.290		
0.419	0.308	0.419	0.291		
0.420	0.304	0.420	0.296		
0.421	0.304	0.421	0.288		
0.422	0.305	0.422	0.288		
0.423	0.311	0.423	0.288		
0.424	0.307	0.424	0.288		
0.425	0.304	0.425	0.287		
0.426	0.298	0.426	0.278		
0.427	0.298	0.427	0.282		
0.428	0.298	0.428	0.285		
0.429	0.290	0.429	0.287		
0.430	0.301	0.430	0.285		
0.431	0.298	0.431	0.279		
0.432	0.295	0.432	0.282		
0.433	0.301	0.433	0.279		
0.434	0.296	0.434	0.281		
0.435	0.302	0.435	0.279		
0.436	0.301	0.436	0.275		
0.437	0.296	0.437	0.276		
0.438	0.299	0.438	0.281		
0.439	0.291	0.439	0.273		
0.440	0.299	0.440	0.276		
0.441	0.298	0.441	0.275		
0.442	0.296	0.442	0.275		
0.443	0.290	0.443	0.276		
0.444	0.288	0.444	0.268		
0.445	0.288	0.445	0.272		
0.446	0.296	0.446	0.273		
0.447	0.295	0.447	0.276		
0.448	0.291	0.448	0.273		
0.449	0.293	0.449	0.270		
0.450	0.290	0.450	0.259		
0.451	0.295	0.451	0.276		
0.452	0.298	0.452	0.272		
0.453	0.288	0.453	0.267		
0.454	0.291	0.454	0.264		
0.455	0.291	0.455	0.270		
0.456	0.293	0.456	0.270		
0.457	0.290	0.457	0.268		
0.458	0.293	0.458	0.267		
0.459	0.285	0.459	0.272		
0.460	0.288	0.460	0.267		
0.461	0.290	0.461	0.268		
0.462	0.285	0.462	0.268		
0.463	0.288	0.463	0.264		
0.464	0.290	0.464	0.262		
0.465	0.293	0.465	0.262		
0.466	0.296	0.466	0.268		
0.467	0.290	0.467	0.267		
0.468	0.295	0.468	0.267		
0.469	0.296	0.469	0.265		
0.470	0.288	0.470	0.273		
0.471	0.288	0.471	0.273		
0.472	0.298	0.472	0.265		
0.473	0.293	0.473	0.273		
0.474	0.293	0.474	0.265		
0.475	0.295	0.475	0.272		
0.476	0.296	0.476	0.270		
0.477	0.304	0.477	0.275		
0.478	0.301	0.478	0.268		
0.479	0.293	0.479	0.281		
0.480	0.293	0.480	0.275		
0.481	0.295	0.481	0.270		
0.482	0.298	0.482	0.270		
0.483	0.299	0.483	0.273		
0.484	0.299	0.484	0.272		
0.485	0.293	0.485	0.273		
0.486	0.301	0.486	0.273		
0.487	0.299	0.487	0.275		
0.488	0.304	0.488	0.278		
0.489	0.301	0.489	0.282		
0.490	0.301	0.490	0.281		
0.491	0.301	0.491	0.278		
0.492	0.305	0.492	0.278		
0.493	0.302	0.493	0.281		
0.494	0.304	0.494	0.282		
0.495	0.304	0.495	0.285		
0.496	0.316	0.496	0.284		
0.497	0.311	0.497	0.279		
0.498	0.307	0.498	0.288		
0.499	0.310	0.499	0.285		
0.500	0.307	0.500	0.293		
0.501	0.304	0.501	0.293		
0.502	0.311	0.502	0.293		
0.503	0.311	0.503	0.291		
0.504	0.316	0.504	0.295		
0.505	0.318	0.505	0.291		
0.506	0.318	0.506	0.291		
0.507	0.322	0.507	0.305		
0.508	0.322	0.508	0.296		
0.509	0.328	0.509	0.299		
0.510	0.327	0.510	0.302		
0.511	0.324	0.511	0.304		
0.512	0.324	0.512	0.319		
0.513	0.333	0.513	0.308		
0.514	0.331	0.514	0.298		
0.515	0.336	0.515	0.308		
0.516	0.342	0.516	0.308		
0.517	0.334	0.517	0.311		
0.518	0.338	0.518	0.319		
0.519	0.339	0.519	0.319		
0.520	0.339	0.520	0.322		
0.521	0.342	0.521	0.327		
0.522	0.344	0.522	0.318		
0.523	0.350	0.523	0.327		
0.524	0.344	0.524	0.328		
0.525	0.354	0.525	0.334		
0.526	0.353	0.526	0.331		
0.527	0.364	0.527	0.338		
0.528	0.362	0.528	0.341		
0.529	0.361	0.529	0.342		
