E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA	E /V	I /uA
0.041	-0.748	0.041	-0.796	0.041	-0.759	0.041	-0.716	0.041	-0.698	0.041	-0.664	0.041	-0.623	0.041	-0.649	0.041	-0.583
0.040	-0.793	0.040	-0.854	0.040	-0.833	0.040	-0.695	0.040	-0.664	0.040	-0.666	0.040	-0.684	0.040	-0.612	0.040	-0.662
0.040	-0.799	0.040	-0.823	0.040	-0.731	0.040	-0.679	0.040	-0.641	0.040	-0.620	0.040	-0.722	0.040	-0.583	0.040	-0.610
0.039	-0.843	0.039	-0.764	0.039	-0.679	0.039	-0.666	0.039	-0.649	0.039	-0.633	0.039	-0.629	0.039	-0.624	0.039	-0.558
0.038	-0.761	0.038	-0.730	0.038	-0.762	0.038	-0.748	0.038	-0.681	0.038	-0.646	0.038	-0.607	0.038	-0.712	0.038	-0.676
0.038	-0.730	0.038	-0.707	0.038	-0.777	0.038	-0.730	0.038	-0.745	0.038	-0.658	0.038	-0.653	0.038	-0.620	0.038	-0.621
0.037	-0.782	0.037	-0.702	0.037	-0.854	0.037	-0.741	0.037	-0.758	0.037	-0.592	0.037	-0.679	0.037	-0.607	0.037	-0.550
0.037	-0.814	0.037	-0.681	0.037	-0.712	0.037	-0.639	0.037	-0.716	0.037	-0.661	0.037	-0.659	0.037	-0.593	0.037	-0.589
0.036	-0.799	0.036	-0.804	0.036	-0.739	0.036	-0.690	0.036	-0.655	0.036	-0.684	0.036	-0.592	0.036	-0.616	0.036	-0.586
0.036	-0.793	0.036	-0.738	0.036	-0.667	0.036	-0.735	0.036	-0.754	0.036	-0.741	0.036	-0.656	0.036	-0.537	0.036	-0.593
0.035	-0.791	0.035	-0.708	0.035	-0.713	0.035	-0.670	0.035	-0.705	0.035	-0.712	0.035	-0.730	0.035	-0.633	0.035	-0.673
0.035	-0.768	0.035	-0.738	0.035	-0.716	0.035	-0.627	0.035	-0.736	0.035	-0.710	0.035	-0.669	0.035	-0.624	0.035	-0.687
0.035	-0.762	0.035	-0.762	0.035	-0.652	0.035	-0.661	0.035	-0.698	0.035	-0.725	0.035	-0.633	0.035	-0.650	0.035	-0.574
0.034	-0.756	0.034	-0.764	0.034	-0.774	0.034	-0.606	0.034	-0.678	0.034	-0.738	0.034	-0.667	0.034	-0.600	0.034	-0.523
0.034	-0.707	0.034	-0.767	0.034	-0.747	0.034	-0.722	0.034	-0.632	0.034	-0.646	0.034	-0.666	0.034	-0.676	0.034	-0.597
0.033	-0.738	0.033	-0.753	0.033	-0.774	0.033	-0.590	0.033	-0.639	0.033	-0.644	0.033	-0.572	0.033	-0.658	0.033	-0.552
0.033	-0.742	0.033	-0.758	0.033	-0.790	0.033	-0.702	0.033	-0.695	0.033	-0.678	0.033	-0.673	0.033	-0.682	0.033	-0.554
0.032	-0.756	0.032	-0.672	0.032	-0.843	0.032	-0.575	0.032	-0.748	0.032	-0.670	0.032	-0.613	0.032	-0.595	0.032	-0.549
0.032	-0.833	0.032	-0.705	0.032	-0.840	0.032	-0.673	0.032	-0.722	0.032	-0.741	0.032	-0.638	0.032	-0.577	0.032	-0.653
0.031	-0.805	0.031	-0.666	0.031	-0.773	0.031	-0.719	0.031	-0.770	0.031	-0.702	0.031	-0.710	0.031	-0.675	0.031	-0.647
0.030	-0.744	0.030	-0.721	0.030	-0.807	0.030	-0.715	0.030	-0.750	0.030	-0.716	0.030	-0.701	0.030	-0.699	0.030	-0.731
0.030	-0.750	0.030	-0.682	0.030	-0.716	0.030	-0.646	0.030	-0.702	0.030	-0.738	0.030	-0.615	0.030	-0.692	0.030	-0.664
0.029	-0.774	0.029	-0.676	0.029	-0.771	0.029	-0.618	0.029	-0.736	0.029	-0.712	0.029	-0.601	0.029	-0.587	0.029	-0.649
