E /V	I /uA	E /V	I /uA	E /V	I /uA
0.085	0.742	0.085	0.844	0.085	0.781
0.085	0.804	0.085	0.814	0.085	0.756
0.086	0.761	0.086	0.788	0.086	0.719
0.086	0.785	0.086	0.680	0.086	0.739
0.086	0.776	0.086	0.724	0.086	0.701
0.087	0.756	0.087	0.753	0.087	0.776
0.087	0.753	0.087	0.729	0.087	0.716
0.088	0.782	0.088	0.722	0.088	0.758
0.088	0.775	0.088	0.798	0.088	0.706
0.089	0.753	0.089	0.733	0.089	0.793
0.089	0.683	0.089	0.784	0.089	0.739
0.090	0.776	0.090	0.788	0.090	0.764
0.090	0.747	0.090	0.739	0.090	0.736
0.091	0.765	0.091	0.738	0.091	0.719
0.091	0.814	0.091	0.782	0.091	0.765
0.092	0.813	0.092	0.758	0.092	0.692
0.092	0.738	0.092	0.733	0.092	0.742
0.093	0.779	0.093	0.690	0.093	0.709
0.093	0.745	0.093	0.758	0.093	0.764
0.094	0.744	0.094	0.727	0.094	0.718
0.095	0.732	0.095	0.680	0.095	0.687
0.095	0.819	0.095	0.695	0.095	0.762
0.096	0.765	0.096	0.770	0.096	0.730
0.096	0.727	0.096	0.719	0.096	0.735
0.097	0.696	0.097	0.732	0.097	0.736
0.097	0.752	0.097	0.709	0.097	0.730
0.098	0.721	0.098	0.627	0.098	0.644
0.098	0.833	0.098	0.791	0.098	0.790
0.099	0.758	0.099	0.643	0.099	0.758
0.099	0.715	0.099	0.673	0.099	0.687
0.100	0.703	0.100	0.673	0.100	0.666
0.100	0.689	0.100	0.699	0.100	0.730
0.101	0.666	0.101	0.696	0.101	0.676
0.101	0.699	0.101	0.703	0.101	0.713
0.102	0.762	0.102	0.686	0.102	0.719
0.102	0.762	0.102	0.638	0.102	0.719
0.102	0.762	0.102	0.715	0.102	0.790
0.103	0.722	0.103	0.644	0.103	0.707
0.103	0.724	0.103	0.681	0.103	0.635
0.104	0.730	0.104	0.687	0.104	0.712
0.104	0.704	0.104	0.698	0.104	0.635
0.105	0.713	0.105	0.704	0.105	0.687
0.105	0.672	0.105	0.670	0.105	0.683
0.106	0.649	0.106	0.686	0.106	0.698
0.106	0.695	0.106	0.684	0.106	0.646
0.107	0.687	0.107	0.692	0.107	0.742
0.107	0.680	0.107	0.663	0.107	0.669
0.108	0.641	0.108	0.657	0.108	0.724
0.108	0.695	0.108	0.692	0.108	0.626
0.109	0.653	0.109	0.663	0.109	0.646
0.110	0.683	0.110	0.644	0.110	0.696
0.110	0.634	0.110	0.661	0.110	0.686
0.111	0.681	0.111	0.710	0.111	0.709
0.111	0.733	0.111	0.626	0.111	0.686
0.112	0.660	0.112	0.643	0.112	0.646
0.112	0.649	0.112	0.680	0.112	0.669
0.113	0.670	0.113	0.681	0.113	0.707
0.113	0.699	0.113	0.658	0.113	0.641
0.114	0.672	0.114	0.684	0.114	0.707
0.114	0.640	0.114	0.650	0.114	0.675
0.115	0.640	0.115	0.591	0.115	0.623
0.115	0.630	0.115	0.615	0.115	0.646
0.116	0.618	0.116	0.634	0.116	0.627
0.116	0.655	0.116	0.607	0.116	0.609
0.117	0.641	0.117	0.653	0.117	0.621
0.117	0.657	0.117	0.627	0.117	0.678
0.117	0.568	0.117	0.595	0.117	0.623
0.118	0.722	0.118	0.718	0.118	0.686
0.118	0.666	0.118	0.683	0.118	0.647
0.119	0.675	0.119	0.641	0.119	0.644
0.119	0.658	0.119	0.634	0.119	0.657
0.120	0.684	0.120	0.609	0.120	0.647
0.120	0.647	0.120	0.609	0.120	0.569
0.121	0.595	0.121	0.644	0.121	0.637
0.121	0.652	0.121	0.618	0.121	0.618
0.122	0.680	0.122	0.598	0.122	0.634
