E /V	I /uA	E /V	I /uA	E /V	I /uA
0.315	1.163	0.315	1.275	0.315	1.272
0.316	1.173	0.316	1.267	0.316	1.261
0.317	1.172	0.317	1.259	0.317	1.259
0.318	1.183	0.318	1.258	0.318	1.261
0.319	1.173	0.319	1.253	0.319	1.255
0.320	1.155	0.320	1.272	0.320	1.255
0.321	1.140	0.321	1.253	0.321	1.250
0.322	1.150	0.322	1.247	0.322	1.229
0.323	1.155	0.323	1.253	0.323	1.247
0.324	1.180	0.324	1.242	0.324	1.238
0.325	1.172	0.325	1.238	0.325	1.226
0.326	1.161	0.326	1.230	0.326	1.236
0.327	1.161	0.327	1.238	0.327	1.244
0.328	1.141	0.328	1.227	0.328	1.250
0.329	1.160	0.329	1.227	0.329	1.226
0.330	1.157	0.330	1.227	0.330	1.227
0.331	1.140	0.331	1.232	0.331	1.238
0.332	1.158	0.332	1.239	0.332	1.233
0.333	1.143	0.333	1.236	0.333	1.222
0.334	1.153	0.334	1.232	0.334	1.227
0.335	1.140	0.335	1.219	0.335	1.204
0.336	1.146	0.336	1.215	0.336	1.229
0.337	1.150	0.337	1.232	0.337	1.213
0.338	1.130	0.338	1.219	0.338	1.230
0.339	1.157	0.339	1.210	0.339	1.227
0.340	1.141	0.340	1.226	0.340	1.226
0.341	1.147	0.341	1.227	0.341	1.215
0.342	1.126	0.342	1.210	0.342	1.213
0.343	1.138	0.343	1.216	0.343	1.213
0.344	1.138	0.344	1.206	0.344	1.215
0.345	1.146	0.345	1.232	0.345	1.233
0.346	1.133	0.346	1.222	0.346	1.226
0.347	1.166	0.347	1.227	0.347	1.230
0.348	1.152	0.348	1.232	0.348	1.212
0.349	1.158	0.349	1.222	0.349	1.216
0.350	1.135	0.350	1.219	0.350	1.227
0.351	1.150	0.351	1.226	0.351	1.215
0.352	1.130	0.352	1.209	0.352	1.229
0.353	1.146	0.353	1.216	0.353	1.235
0.354	1.143	0.354	1.209	0.354	1.222
0.355	1.164	0.355	1.218	0.355	1.218
0.356	1.164	0.356	1.221	0.356	1.226
0.357	1.140	0.357	1.207	0.357	1.227
0.358	1.147	0.358	1.216	0.358	1.224
0.359	1.147	0.359	1.239	0.359	1.226
0.360	1.140	0.360	1.216	0.360	1.229
0.361	1.141	0.361	1.227	0.361	1.226
0.362	1.153	0.362	1.229	0.362	1.224
0.363	1.172	0.363	1.239	0.363	1.241
0.364	1.158	0.364	1.224	0.364	1.222
0.365	1.167	0.365	1.216	0.365	1.233
0.366	1.170	0.366	1.236	0.366	1.239
0.367	1.164	0.367	1.227	0.367	1.241
0.368	1.160	0.368	1.232	0.368	1.235
0.369	1.173	0.369	1.232	0.369	1.244
0.370	1.157	0.370	1.219	0.370	1.239
0.371	1.178	0.371	1.235	0.371	1.252
0.372	1.176	0.372	1.244	0.372	1.252
0.373	1.180	0.373	1.227	0.373	1.255
0.374	1.169	0.374	1.238	0.374	1.244
0.375	1.172	0.375	1.241	0.375	1.239
0.376	1.172	0.376	1.245	0.376	1.244
0.377	1.172	0.377	1.239	0.377	1.261
0.378	1.176	0.378	1.233	0.378	1.273
0.379	1.170	0.379	1.235	0.379	1.272
0.380	1.181	0.380	1.236	0.380	1.265
0.381	1.193	0.381	1.239	0.381	1.255
0.382	1.206	0.382	1.249	0.382	1.265
0.383	1.198	0.383	1.224	0.383	1.259
0.384	1.195	0.384	1.252	0.384	1.249
0.385	1.178	0.385	1.247	0.385	1.261
0.386	1.190	0.386	1.253	0.386	1.275
0.387	1.212	0.387	1.268	0.387	1.282
0.388	1.209	0.388	1.253	0.388	1.272
0.389	1.209	0.389	1.250	0.389	1.276
0.390	1.199	0.390	1.273	0.390	1.270
0.391	1.209	0.391	1.256	0.391	1.276
0.392	1.215	0.392	1.268	0.392	1.291
0.393	1.212	0.393	1.268	0.393	1.302
0.394	1.218	0.394	1.256	0.394	1.281
0.395	1.238	0.395	1.278	0.395	1.299
0.396	1.221	0.396	1.296	0.396	1.293
0.397	1.233	0.397	1.276	0.397	1.305
0.398	1.221	0.398	1.276	0.398	1.319
0.399	1.258	0.399	1.290	0.399	1.302
0.400	1.250	0.400	1.296	0.400	1.305
0.401	1.235	0.401	1.296	0.401	1.281
0.402	1.227	0.402	1.299	0.402	1.324
0.403	1.249	0.403	1.299	0.403	1.308
0.404	1.255	0.404	1.299	0.404	1.314
0.405	1.270	0.405	1.302	0.405	1.347
0.406	1.250	0.406	1.307	0.406	1.339
0.407	1.247	0.407	1.298	0.407	1.345
0.408	1.281	0.408	1.319	0.408	1.347
0.409	1.253	0.409	1.301	0.409	1.345
0.410	1.268	0.410	1.327	0.410	1.348
0.411	1.279	0.411	1.331	0.411	1.362
0.412	1.265	0.412	1.337	0.412	1.341
0.413	1.281	0.413	1.348	0.413	1.368
0.414	1.285	0.414	1.327	0.414	1.362
0.415	1.273	0.415	1.356	0.415	1.373
0.416	1.305	0.416	1.377	0.416	1.390
0.417	1.296	0.417	1.360	0.417	1.377
0.418	1.314	0.418	1.357	0.418	1.382
0.419	1.321	0.419	1.359	0.419	1.414
0.420	1.330	0.420	1.383	0.420	1.397
0.421	1.333	0.421	1.385	0.421	1.416
0.422	1.327	0.422	1.373	0.422	1.402
0.423	1.330	0.423	1.371	0.423	1.410
0.424	1.328	0.424	1.383	0.424	1.425
0.425	1.347	0.425	1.400	0.425	1.429
0.426	1.362	0.426	1.391	0.426	1.433
0.427	1.344	0.427	1.388	0.427	1.443
0.428	1.364	0.428	1.402	0.428	1.468
0.429	1.362	0.429	1.385	0.429	1.446
0.430	1.359	0.430	1.433	0.430	1.437
0.431	1.380	0.431	1.448	0.431	1.474
0.432	1.388	0.432	1.408	0.432	1.462
0.433	1.411	0.433	1.428	0.433	1.465
0.434	1.403	0.434	1.411	0.434	1.491
0.435	1.414	0.435	1.445	0.435	1.506
0.436	1.419	0.436	1.468	0.436	1.495
0.437	1.429	0.437	1.448	0.437	1.523
0.438	1.431	0.438	1.459	0.438	1.529
0.439	1.428	0.439	1.463	0.439	1.534
0.440	1.425	0.440	1.466	0.440	1.523
0.441	1.439	0.441	1.479	0.441	1.532
0.442	1.454	0.442	1.492	0.442	1.551
0.443	1.474	0.443	1.491	0.443	1.555
0.444	1.469	0.444	1.474	0.444	1.555
0.445	1.482	0.445	1.485	0.445	1.612
0.446	1.471	0.446	1.508	0.446	1.560
0.447	1.488	0.447	1.494	0.447	1.571
0.448	1.474	0.448	1.503	0.448	1.581
0.449	1.515	0.449	1.523	0.449	1.584
0.450	1.480	0.450	1.509	0.450	1.606
0.451	1.528	0.451	1.560	0.451	1.617
0.452	1.538	0.452	1.568	0.452	1.620
0.453	1.540	0.453	1.568	0.453	1.638
0.454	1.532	0.454	1.545	0.454	1.635
0.455	1.557	0.455	1.577	0.455	1.655
0.456	1.545	0.456	1.578	0.456	1.638
0.457	1.564	0.457	1.574	0.457	1.650
0.458	1.529	0.458	1.577	0.458	1.683
0.459	1.558	0.459	1.584	0.459	1.666
0.460	1.557	0.460	1.578	0.460	1.666
0.461	1.578	0.461	1.606	0.461	1.679
0.462	1.597	0.462	1.618	0.462	1.678
